box_id,service_id,mass,volume,category,hard_deadline_type,deadline,communication_feasible_in_count,communication_feasible_out_count,communication_cycle,singleton_candidate_count,singleton_present_in_pool,candidate_count,failure_reason
S008-WAT-01,S008,14,0.027,饮用水,FIRST_BATCH_HARD,7200,15,15,True,75,True,323,COVERED
S008-WAT-02,S008,14,0.027,饮用水,ORDINARY_SOFT,7200,15,15,True,75,True,323,COVERED
S009-FOD-01,S009,8,0.028,应急食品,ORDINARY_SOFT,14400,15,15,True,241,True,690,COVERED
S009-MED-01,S009,3,0.012,医疗物资,MEDICAL_HARD,10800,15,15,True,253,True,715,COVERED
S009-WAT-01,S009,14,0.027,饮用水,FIRST_BATCH_HARD,10800,15,15,True,224,True,651,COVERED
S010-FOD-01,S010,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,173,True,500,COVERED
S010-MED-01,S010,3,0.012,医疗物资,MEDICAL_HARD,3600,15,15,True,183,True,519,COVERED
S010-WAT-01,S010,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,160,True,475,COVERED
S011-FOD-01,S011,8,0.028,应急食品,ORDINARY_SOFT,14400,15,15,True,316,True,918,COVERED
S011-MED-01,S011,3,0.012,医疗物资,MEDICAL_HARD,10800,15,15,True,321,True,943,COVERED
S011-WAT-01,S011,14,0.027,饮用水,FIRST_BATCH_HARD,10800,15,15,True,300,True,887,COVERED
S012-FOD-01,S012,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,112,True,319,COVERED
S012-MED-01,S012,3,0.012,医疗物资,MEDICAL_HARD,7200,15,15,True,115,True,330,COVERED
S012-WAT-01,S012,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,105,True,303,COVERED
S013-FOD-01,S013,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,221,True,635,COVERED
S013-MED-01,S013,3,0.012,医疗物资,MEDICAL_HARD,3600,15,15,True,229,True,654,COVERED
S013-WAT-01,S013,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,208,True,604,COVERED
S014-FOD-01,S014,8,0.028,应急食品,ORDINARY_SOFT,7200,15,15,True,102,True,287,COVERED
S014-MED-01,S014,3,0.012,医疗物资,MEDICAL_HARD,7200,15,15,True,107,True,301,COVERED
S014-WAT-01,S014,14,0.027,饮用水,FIRST_BATCH_HARD,3600,15,15,True,93,True,267,COVERED
S015-FOD-01,S015,8,0.028,应急食品,ORDINARY_SOFT,14400,14,14,True,126,True,361,COVERED
S015-MED-01,S015,3,0.012,医疗物资,MEDICAL_HARD,7200,14,14,True,135,True,375,COVERED
S015-WAT-01,S015,14,0.027,饮用水,FIRST_BATCH_HARD,10800,14,14,True,118,True,342,COVERED
