route,drone_type,payload_kg,transport_energy,usable_energy,reserve_limit,energy_slack,dominant_reason
O01->S009->S008->S015->O01,B,9.0,3.281227696641805,3.2,3.2,-0.08122769664180485,return reserve constraint
O01->S009->S008->S015->O01,B,23.0,3.7562345644359,3.2,3.2,-0.5562345644358997,route too long / climb energy
O01->S009->S008->S015->O01,C,9.0,6.669355810676183,6.4,6.4,-0.2693558106761831,return reserve constraint
O01->S009->S008->S015->O01,C,23.0,6.903572724449575,6.4,6.4,-0.5035727244495742,return reserve constraint
O01->S005->S008->S013->O01,B,9.0,3.270732324503317,3.2,3.2,-0.07073232450331668,return reserve constraint
O01->S005->S008->S013->O01,B,23.0,3.6540291397981233,3.2,3.2,-0.4540291397981231,payload-dependent range/energy
O01->S005->S008->S013->O01,C,9.0,6.748314877158124,6.4,6.4,-0.34831487715812326,return reserve constraint
O01->S005->S008->S013->O01,C,23.0,6.938974082029982,6.4,6.4,-0.5389740820299815,return reserve constraint
O01->S007->S008->S013->O01,B,9.0,3.6697449716947967,3.2,3.2,-0.46974497169479656,return reserve constraint
O01->S007->S008->S013->O01,B,23.0,4.143032505668415,3.2,3.2,-0.9430325056684152,route too long / climb energy
O01->S007->S008->S013->O01,C,9.0,7.498978957588974,6.4,6.4,-1.0989789575889732,route too long / climb energy
O01->S007->S008->S013->O01,C,23.0,7.7443222474857345,6.4,6.4,-1.3443222474857341,route too long / climb energy
O01->S009->S008->S013->O01,B,9.0,3.6153293496660273,3.2,3.2,-0.4153293496660271,return reserve constraint
O01->S009->S008->S013->O01,B,23.0,4.0903362174601225,3.2,3.2,-0.8903362174601224,route too long / climb energy
O01->S009->S008->S013->O01,C,9.0,7.479956628941168,6.4,6.4,-1.0799566289411677,route too long / climb energy
O01->S009->S008->S013->O01,C,23.0,7.714173542714561,6.4,6.4,-1.3141735427145607,route too long / climb energy
O01->S013->S008->S015->O01,B,9.0,3.595415774978252,3.2,3.2,-0.39541577497825164,return reserve constraint
O01->S013->S008->S015->O01,B,23.0,4.143464415217432,3.2,3.2,-0.9434644152174316,route too long / climb energy
O01->S013->S008->S015->O01,C,9.0,7.337864014357172,6.4,6.4,-0.9378640143571717,return reserve constraint
O01->S013->S008->S015->O01,C,23.0,7.609471478678572,6.4,6.4,-1.209471478678572,route too long / climb energy
O01->S005->S007->S008->O01,B,9.0,3.775765698521485,3.2,3.2,-0.5757656985214847,route too long / climb energy
O01->S005->S007->S008->O01,B,23.0,4.423345015352727,3.2,3.2,-1.2233450153527272,route too long / climb energy
O01->S005->S007->S008->O01,C,9.0,7.716044333823289,6.4,6.4,-1.3160443338232888,route too long / climb energy
O01->S005->S007->S008->O01,C,23.0,8.056293261468776,6.4,6.4,-1.6562932614687753,route too long / climb energy
O01->S008->S005->S007->O01,B,9.0,3.243543866852822,3.2,3.2,-0.04354386685282163,return reserve constraint
O01->S008->S005->S007->O01,B,23.0,3.6366880039031457,3.2,3.2,-0.43668800390314555,payload-dependent range/energy
O01->S008->S005->S007->O01,C,9.0,6.572051916888325,6.4,6.4,-0.172051916888325,return reserve constraint
O01->S008->S005->S007->O01,C,23.0,6.759165173977498,6.4,6.4,-0.35916517397749725,return reserve constraint
O01->S005->S009->S008->O01,B,9.0,3.259958493747372,3.2,3.2,-0.05995849374737183,return reserve constraint
O01->S005->S009->S008->O01,B,23.0,3.786836169682772,3.2,3.2,-0.5868361696827717,route too long / climb energy
O01->S005->S009->S008->O01,C,9.0,6.712304302059713,6.4,6.4,-0.3123043020597125,return reserve constraint
O01->S005->S009->S008->O01,C,23.0,6.983573543698277,6.4,6.4,-0.583573543698277,return reserve constraint
O01->S008->S005->S009->O01,B,9.0,3.053034694702756,3.2,3.2,0.14696530529724416,PASS
O01->S008->S005->S009->O01,B,23.0,3.44617883175308,3.2,3.2,-0.24617883175307975,payload-dependent range/energy
O01->S008->S005->S009->O01,C,9.0,6.237254747993541,6.4,6.4,0.1627452520064594,PASS
O01->S008->S005->S009->O01,C,23.0,6.424368005082713,6.4,6.4,-0.024368005082712862,return reserve constraint
O01->S008->S005->S010->O01,B,9.0,3.488352006675738,3.2,3.2,-0.2883520066757379,return reserve constraint
O01->S008->S005->S010->O01,B,23.0,3.881496143726062,3.2,3.2,-0.6814961437260618,route too long / climb energy
O01->S008->S005->S010->O01,C,9.0,7.129547192346162,6.4,6.4,-0.7295471923461614,return reserve constraint
O01->S008->S005->S010->O01,C,23.0,7.316660449435334,6.4,6.4,-0.9166604494353336,return reserve constraint
O01->S005->S013->S008->O01,B,9.0,4.05328699368704,3.2,3.2,-0.85328699368704,route too long / climb energy
O01->S005->S013->S008->O01,B,23.0,4.762483589339111,3.2,3.2,-1.5624835893391111,route too long / climb energy
O01->S005->S013->S008->O01,C,9.0,8.420495005860891,6.4,6.4,-2.020495005860891,route too long / climb energy
O01->S005->S013->S008->O01,C,23.0,8.782435595172135,6.4,6.4,-2.3824355951721348,route too long / climb energy
O01->S008->S005->S013->O01,B,9.0,3.299053390418571,3.2,3.2,-0.09905339041857086,return reserve constraint
O01->S008->S005->S013->O01,B,23.0,3.692197527468895,3.2,3.2,-0.4921975274688948,route too long / climb energy
O01->S008->S005->S013->O01,C,9.0,6.760534216521624,6.4,6.4,-0.3605342165216232,return reserve constraint
O01->S008->S005->S013->O01,C,23.0,6.947647473610796,6.4,6.4,-0.5476474736107955,return reserve constraint
O01->S008->S005->S014->O01,B,9.0,3.8899138462712255,3.2,3.2,-0.6899138462712253,route too long / climb energy
O01->S008->S005->S014->O01,B,23.0,4.28305798332155,3.2,3.2,-1.0830579833215497,route too long / climb energy
O01->S008->S005->S014->O01,C,9.0,7.909802220331138,6.4,6.4,-1.5098022203311379,route too long / climb energy
O01->S008->S005->S014->O01,C,23.0,8.09691547742031,6.4,6.4,-1.6969154774203101,route too long / climb energy
O01->S005->S015->S008->O01,B,9.0,3.355996041997981,3.2,3.2,-0.15599604199798067,return reserve constraint
O01->S005->S015->S008->O01,B,23.0,3.9097897654570186,3.2,3.2,-0.7097897654570184,route too long / climb energy
O01->S005->S015->S008->O01,C,9.0,6.816794829957505,6.4,6.4,-0.41679482995750483,return reserve constraint
O01->S005->S015->S008->O01,C,23.0,7.109191312820065,6.4,6.4,-0.7091913128200646,return reserve constraint
O01->S008->S005->S015->O01,B,9.0,3.3292437235269534,3.2,3.2,-0.12924372352695324,return reserve constraint
O01->S008->S005->S015->O01,B,23.0,3.722387860577277,3.2,3.2,-0.5223878605772767,route too long / climb energy
O01->S008->S005->S015->O01,C,9.0,6.748785551143811,6.4,6.4,-0.34878555114381093,return reserve constraint
O01->S008->S005->S015->O01,C,23.0,6.935898808232983,6.4,6.4,-0.5358988082329823,return reserve constraint
O01->S007->S009->S008->O01,B,9.0,3.8133876064787526,3.2,3.2,-0.6133876064787525,route too long / climb energy
O01->S007->S009->S008->O01,B,23.0,4.472359472920502,3.2,3.2,-1.2723594729205017,route too long / climb energy
O01->S007->S009->S008->O01,C,9.0,7.837402176623094,6.4,6.4,-1.4374021766230936,route too long / climb energy
O01->S007->S009->S008->O01,C,23.0,8.179333812287052,6.4,6.4,-1.7793338122870512,route too long / climb energy
O01->S008->S007->S009->O01,B,9.0,4.163460852063759,3.2,3.2,-0.9634608520637586,route too long / climb energy
O01->S008->S007->S009->O01,B,23.0,4.556604989114083,3.2,3.2,-1.356604989114083,route too long / climb energy
O01->S008->S007->S009->O01,C,9.0,8.519671895263631,6.4,6.4,-2.1196718952636306,route too long / climb energy
O01->S008->S007->S009->O01,C,23.0,8.706785152352804,6.4,6.4,-2.306785152352804,route too long / climb energy
O01->S007->S013->S008->O01,B,9.0,4.3816885676359245,3.2,3.2,-1.1816885676359243,route too long / climb energy
O01->S007->S013->S008->O01,B,23.0,5.166478350756592,3.2,3.2,-1.9664783507565922,route too long / climb energy
O01->S007->S013->S008->O01,C,9.0,9.087156468579868,6.4,6.4,-2.687156468579868,route too long / climb energy
O01->S007->S013->S008->O01,C,23.0,9.490446583498889,6.4,6.4,-3.0904465834988883,route too long / climb energy
O01->S008->S007->S013->O01,B,9.0,4.190319863502172,3.2,3.2,-0.9903198635021715,route too long / climb energy
O01->S008->S007->S013->O01,B,23.0,4.583464000552496,3.2,3.2,-1.3834640005524959,route too long / climb energy
O01->S008->S007->S013->O01,C,9.0,8.588239517591427,6.4,6.4,-2.188239517591427,route too long / climb energy
O01->S008->S007->S013->O01,C,23.0,8.775352774680599,6.4,6.4,-2.3753527746805982,route too long / climb energy
O01->S007->S015->S008->O01,B,9.0,2.9916429497574164,3.2,3.2,0.20835705024258377,PASS
O01->S007->S015->S008->O01,B,23.0,3.4475495333564403,3.2,3.2,-0.24754953335644014,payload-dependent range/energy
O01->S007->S015->S008->O01,C,9.0,6.080405267992385,6.4,6.4,0.3195947320076158,PASS
O01->S007->S015->S008->O01,C,23.0,6.323339720294373,6.4,6.4,0.07666027970562705,PASS
O01->S008->S007->S015->O01,B,9.0,3.5459579311675986,3.2,3.2,-0.34595793116759843,return reserve constraint
O01->S008->S007->S015->O01,B,23.0,3.939102068217923,3.2,3.2,-0.7391020682179228,route too long / climb energy
O01->S008->S007->S015->O01,C,9.0,7.185125302460612,6.4,6.4,-0.785125302460612,return reserve constraint
O01->S008->S007->S015->O01,C,23.0,7.372238559549785,6.4,6.4,-0.9722385595497842,route too long / climb energy
O01->S008->S009->S010->O01,B,9.0,3.523128530176227,3.2,3.2,-0.323128530176227,return reserve constraint
O01->S008->S009->S010->O01,B,23.0,3.916272667226551,3.2,3.2,-0.7162726672265509,route too long / climb energy
O01->S008->S009->S010->O01,C,9.0,7.191168947890845,6.4,6.4,-0.7911689478908448,return reserve constraint
O01->S008->S009->S010->O01,C,23.0,7.378282204980018,6.4,6.4,-0.9782822049800179,route too long / climb energy
O01->S009->S013->S008->O01,B,9.0,3.8022533828362985,3.2,3.2,-0.6022533828362984,route too long / climb energy
O01->S009->S013->S008->O01,B,23.0,4.452077284694385,3.2,3.2,-1.2520772846943844,route too long / climb energy
O01->S009->S013->S008->O01,C,9.0,7.911226808812897,6.4,6.4,-1.5112268088128964,route too long / climb energy
O01->S009->S013->S008->O01,C,23.0,8.241034370179412,6.4,6.4,-1.8410343701794112,route too long / climb energy
O01->S008->S009->S013->O01,B,9.0,3.2990565489277635,3.2,3.2,-0.09905654892776328,return reserve constraint
O01->S008->S009->S013->O01,B,23.0,3.692200685978088,3.2,3.2,-0.49220068597808764,route too long / climb energy
O01->S008->S009->S013->O01,C,9.0,6.753158556855412,6.4,6.4,-0.3531585568554121,return reserve constraint
O01->S008->S009->S013->O01,C,23.0,6.940271813944585,6.4,6.4,-0.5402718139445843,return reserve constraint
O01->S008->S009->S014->O01,B,9.0,3.924447419116535,3.2,3.2,-0.7244474191165349,route too long / climb energy
O01->S008->S009->S014->O01,B,23.0,4.317591556166859,3.2,3.2,-1.1175915561668592,route too long / climb energy
O01->S008->S009->S014->O01,C,9.0,7.989177525948946,6.4,6.4,-1.589177525948946,route too long / climb energy
O01->S008->S009->S014->O01,C,23.0,8.17629078303812,6.4,6.4,-1.7762907830381192,route too long / climb energy
O01->S009->S015->S008->O01,B,9.0,3.778908473383654,3.2,3.2,-0.5789084733836538,route too long / climb energy
O01->S009->S015->S008->O01,B,23.0,4.44521700485539,3.2,3.2,-1.24521700485539,route too long / climb energy
O01->S009->S015->S008->O01,C,9.0,7.728478990468172,6.4,6.4,-1.328478990468172,route too long / climb energy
O01->S009->S015->S008->O01,C,23.0,8.073218323305944,6.4,6.4,-1.673218323305944,route too long / climb energy
O01->S008->S009->S015->O01,B,9.0,3.986420297696569,3.2,3.2,-0.7864202976965688,route too long / climb energy
O01->S008->S009->S015->O01,B,23.0,4.379564434746893,3.2,3.2,-1.1795644347468928,route too long / climb energy
O01->S008->S009->S015->O01,C,9.0,8.152480435765924,6.4,6.4,-1.7524804357659232,route too long / climb energy
O01->S008->S009->S015->O01,C,23.0,8.339593692855097,6.4,6.4,-1.9395936928550963,route too long / climb energy
O01->S010->S013->S008->O01,B,9.0,3.42713595028822,3.2,3.2,-0.22713595028821976,return reserve constraint
O01->S010->S013->S008->O01,B,23.0,3.971461523309322,3.2,3.2,-0.7714615233093216,route too long / climb energy
O01->S010->S013->S008->O01,C,9.0,7.089115159932014,6.4,6.4,-0.6891151599320136,return reserve constraint
O01->S010->S013->S008->O01,C,23.0,7.372298400662011,6.4,6.4,-0.9722984006620106,route too long / climb energy
O01->S008->S013->S014->O01,B,9.0,3.876707035462356,3.2,3.2,-0.6767070354623557,route too long / climb energy
O01->S008->S013->S014->O01,B,23.0,4.26985117251268,3.2,3.2,-1.0698511725126796,route too long / climb energy
O01->S008->S013->S014->O01,C,9.0,7.90912438403707,6.4,6.4,-1.5091243840370696,route too long / climb energy
O01->S008->S013->S014->O01,C,23.0,8.09623764112624,6.4,6.4,-1.69623764112624,route too long / climb energy
O01->S013->S015->S008->O01,B,9.0,3.935942748141056,3.2,3.2,-0.7359427481410559,route too long / climb energy
O01->S013->S015->S008->O01,B,23.0,4.635338404887639,3.2,3.2,-1.4353384048876388,route too long / climb energy
O01->S013->S015->S008->O01,C,9.0,8.067921876031475,6.4,6.4,-1.6679218760314747,route too long / climb energy
O01->S013->S015->S008->O01,C,23.0,8.43019578892364,6.4,6.4,-2.03019578892364,route too long / climb energy
O01->S008->S013->S015->O01,B,9.0,4.6934383550217325,3.2,3.2,-1.4934383550217323,route too long / climb energy
O01->S008->S013->S015->O01,B,23.0,5.086582492072057,3.2,3.2,-1.8865824920720566,route too long / climb energy
O01->S008->S013->S015->O01,C,9.0,9.6776944995582,6.4,6.4,-3.2776944995581996,route too long / climb energy
O01->S008->S013->S015->O01,C,23.0,9.864807756647371,6.4,6.4,-3.464807756647371,route too long / climb energy
O01->S008->S007->S010->O01,B,9.0,4.269283366667635,3.2,3.2,-1.0692833666676345,route too long / climb energy
O01->S008->S007->S010->O01,B,23.0,4.662427503717959,3.2,3.2,-1.4624275037179588,route too long / climb energy
O01->S008->S007->S010->O01,C,9.0,8.745744097841559,6.4,6.4,-2.3457440978415587,route too long / climb energy
O01->S008->S007->S010->O01,C,23.0,8.932857354930732,6.4,6.4,-2.532857354930732,route too long / climb energy
O01->S010->S015->S008->O01,B,9.0,4.072008809070725,3.2,3.2,-0.8720088090707252,route too long / climb energy
O01->S010->S015->S008->O01,B,23.0,4.8041954024999285,3.2,3.2,-1.6041954024999283,route too long / climb energy
O01->S010->S015->S008->O01,C,9.0,8.332304493219308,6.4,6.4,-1.9323044932193074,route too long / climb energy
O01->S010->S015->S008->O01,C,23.0,8.71299810414413,6.4,6.4,-2.31299810414413,route too long / climb energy
O01->S005->S010->S008->O01,B,9.0,4.450416400723572,3.2,3.2,-1.250416400723572,route too long / climb energy
O01->S005->S010->S008->O01,B,23.0,5.249660581613188,3.2,3.2,-2.049660581613188,route too long / climb energy
O01->S005->S010->S008->O01,C,9.0,9.212144915039271,6.4,6.4,-2.812144915039271,route too long / climb energy
O01->S005->S010->S008->O01,C,23.0,9.624745428123791,6.4,6.4,-3.224745428123791,route too long / climb energy
O01->S005->S008->S010->O01,B,9.0,3.4710838271660824,3.2,3.2,-0.27108382716608226,return reserve constraint
O01->S005->S008->S010->O01,B,23.0,3.854380642460889,3.2,3.2,-0.6543806424608887,route too long / climb energy
O01->S005->S008->S010->O01,C,9.0,7.143358724963389,6.4,6.4,-0.7433587249633886,return reserve constraint
O01->S005->S008->S010->O01,C,23.0,7.334017929835247,6.4,6.4,-0.9340179298352469,return reserve constraint
O01->S007->S010->S008->O01,B,9.0,4.665227510985163,3.2,3.2,-1.4652275109851631,route too long / climb energy
O01->S007->S010->S008->O01,B,23.0,5.512521447212347,3.2,3.2,-2.3125214472123465,route too long / climb energy
O01->S007->S010->S008->O01,C,9.0,9.664951820266335,6.4,6.4,-3.264951820266335,route too long / climb energy
O01->S007->S010->S008->O01,C,23.0,10.102891703850968,6.4,6.4,-3.702891703850968,route too long / climb energy
O01->S007->S008->S010->O01,B,9.0,3.8700964743575614,3.2,3.2,-0.6700964743575613,route too long / climb energy
O01->S007->S008->S010->O01,B,23.0,4.3433840083311805,3.2,3.2,-1.1433840083311804,route too long / climb energy
O01->S007->S008->S010->O01,C,9.0,7.894022805394239,6.4,6.4,-1.4940228053942386,route too long / climb energy
O01->S007->S008->S010->O01,C,23.0,8.139366095290999,6.4,6.4,-1.7393660952909986,route too long / climb energy
O01->S009->S010->S008->O01,B,9.0,4.235141675237001,3.2,3.2,-1.0351416752370008,route too long / climb energy
O01->S009->S010->S008->O01,B,23.0,4.983814864711457,3.2,3.2,-1.7838148647114567,route too long / climb energy
O01->S009->S010->S008->O01,C,9.0,8.772550308846974,6.4,6.4,-2.3725503088469733,route too long / climb energy
O01->S009->S010->S008->O01,C,23.0,9.157895384098673,6.4,6.4,-2.7578953840986724,route too long / climb energy
O01->S009->S008->S010->O01,B,9.0,3.815680852328793,3.2,3.2,-0.6156808523287927,route too long / climb energy
O01->S009->S008->S010->O01,B,23.0,4.290687720122889,3.2,3.2,-1.0906877201228884,route too long / climb energy
O01->S009->S008->S010->O01,C,9.0,7.875000476746433,6.4,6.4,-1.475000476746433,route too long / climb energy
O01->S009->S008->S010->O01,C,23.0,8.109217390519827,6.4,6.4,-1.709217390519827,route too long / climb energy
O01->S010->S008->S013->O01,B,9.0,4.135957750275902,3.2,3.2,-0.935957750275902,route too long / climb energy
O01->S010->S008->S013->O01,B,23.0,4.734013904728744,3.2,3.2,-1.5340139047287442,route too long / climb energy
O01->S010->S008->S013->O01,C,9.0,8.54807395223838,6.4,6.4,-2.148073952238379,route too long / climb energy
O01->S010->S008->S013->O01,C,23.0,8.847831127625549,6.4,6.4,-2.447831127625548,route too long / climb energy
O01->S008->S010->S013->O01,B,9.0,3.69422334830442,3.2,3.2,-0.49422334830441983,route too long / climb energy
O01->S008->S010->S013->O01,B,23.0,4.087367485354744,3.2,3.2,-0.8873674853547442,route too long / climb energy
O01->S008->S010->S013->O01,C,9.0,7.545719648760464,6.4,6.4,-1.1457196487604637,route too long / climb energy
O01->S008->S010->S013->O01,C,23.0,7.732832905849636,6.4,6.4,-1.332832905849636,route too long / climb energy
O01->S008->S010->S014->O01,B,9.0,3.885110932281326,3.2,3.2,-0.6851109322813258,route too long / climb energy
O01->S008->S010->S014->O01,B,23.0,4.27825506933165,3.2,3.2,-1.0782550693316502,route too long / climb energy
O01->S008->S010->S014->O01,C,9.0,7.895076863607846,6.4,6.4,-1.4950768636078458,route too long / climb energy
O01->S008->S010->S014->O01,C,23.0,8.082190120697017,6.4,6.4,-1.6821901206970171,route too long / climb energy
O01->S010->S008->S015->O01,B,9.0,3.80185609725168,3.2,3.2,-0.6018560972516798,route too long / climb energy
O01->S010->S008->S015->O01,B,23.0,4.399912251704523,3.2,3.2,-1.1999122517045224,route too long / climb energy
O01->S010->S008->S015->O01,C,9.0,7.737473133973392,6.4,6.4,-1.3374731339733916,route too long / climb energy
O01->S010->S008->S015->O01,C,23.0,8.037230309360561,6.4,6.4,-1.637230309360561,route too long / climb energy
O01->S008->S010->S015->O01,B,9.0,5.033459879267767,3.2,3.2,-1.8334598792677665,route too long / climb energy
O01->S008->S010->S015->O01,B,23.0,5.42660401631809,3.2,3.2,-2.22660401631809,route too long / climb energy
O01->S008->S010->S015->O01,C,9.0,10.361633780663892,6.4,6.4,-3.9616337806638917,route too long / climb energy
O01->S008->S010->S015->O01,C,23.0,10.548747037753063,6.4,6.4,-4.148747037753063,route too long / climb energy
O01->S008->S007->S014->O01,B,9.0,4.592478396957958,3.2,3.2,-1.3924783969579577,route too long / climb energy
O01->S008->S007->S014->O01,B,23.0,4.985622534008281,3.2,3.2,-1.7856225340082812,route too long / climb energy
O01->S008->S007->S014->O01,C,9.0,9.356884766433398,6.4,6.4,-2.9568847664333973,route too long / climb energy
O01->S008->S007->S014->O01,C,23.0,9.543998023522567,6.4,6.4,-3.143998023522567,route too long / climb energy
O01->S014->S015->S008->O01,B,9.0,4.418610105503401,3.2,3.2,-1.2186101055034007,route too long / climb energy
O01->S014->S015->S008->O01,B,23.0,5.240839827062587,3.2,3.2,-2.0408398270625865,route too long / climb energy
O01->S014->S015->S008->O01,C,9.0,9.005247588961499,6.4,6.4,-2.6052475889614986,route too long / climb energy
O01->S014->S015->S008->O01,C,23.0,9.43398612946794,6.4,6.4,-3.033986129467939,route too long / climb energy
O01->S005->S014->S008->O01,B,9.0,5.006872561695525,3.2,3.2,-1.806872561695525,route too long / climb energy
O01->S005->S014->S008->O01,B,23.0,5.932448647683586,3.2,3.2,-2.7324486476835856,route too long / climb energy
O01->S005->S014->S008->O01,C,9.0,10.316725922847189,6.4,6.4,-3.9167259228471885,route too long / climb energy
O01->S005->S014->S008->O01,C,23.0,10.80076345937862,6.4,6.4,-4.40076345937862,route too long / climb energy
O01->S005->S008->S014->O01,B,9.0,3.876044140807529,3.2,3.2,-0.6760441408075288,route too long / climb energy
O01->S005->S008->S014->O01,B,23.0,4.259340956102335,3.2,3.2,-1.0593409561023348,route too long / climb energy
O01->S005->S008->S014->O01,C,9.0,7.934502992908705,6.4,6.4,-1.5345029929087044,route too long / climb energy
O01->S005->S008->S014->O01,C,23.0,8.125162197780561,6.4,6.4,-1.725162197780561,route too long / climb energy
O01->S007->S014->S008->O01,B,9.0,5.141331398336899,3.2,3.2,-1.9413313983368985,route too long / climb energy
O01->S007->S014->S008->O01,B,23.0,6.094416108234549,3.2,3.2,-2.894416108234549,route too long / climb energy
O01->S007->S014->S008->O01,C,9.0,10.59926297891331,6.4,6.4,-4.1992629789133105,route too long / climb energy
O01->S007->S014->S008->O01,C,23.0,11.098627181241271,6.4,6.4,-4.698627181241271,route too long / climb energy
O01->S007->S008->S014->O01,B,9.0,4.2750567879990085,3.2,3.2,-1.0750567879990083,route too long / climb energy
O01->S007->S008->S014->O01,B,23.0,4.748344321972627,3.2,3.2,-1.5483443219726265,route too long / climb energy
O01->S007->S008->S014->O01,C,9.0,8.685167073339555,6.4,6.4,-2.2851670733395544,route too long / climb energy
O01->S007->S008->S014->O01,C,23.0,8.930510363236316,6.4,6.4,-2.5305103632363153,route too long / climb energy
O01->S009->S014->S008->O01,B,9.0,4.791032597683911,3.2,3.2,-1.5910325976839106,route too long / climb energy
O01->S009->S014->S008->O01,B,23.0,5.666920498193244,3.2,3.2,-2.466920498193244,route too long / climb energy
O01->S009->S014->S008->O01,C,9.0,9.89438689055526,6.4,6.4,-3.49438689055526,route too long / climb energy
O01->S009->S014->S008->O01,C,23.0,10.349823146818634,6.4,6.4,-3.949823146818634,route too long / climb energy
O01->S009->S008->S014->O01,B,9.0,4.220641165970239,3.2,3.2,-1.0206411659702388,route too long / climb energy
O01->S009->S008->S014->O01,B,23.0,4.695648033764335,3.2,3.2,-1.4956480337643345,route too long / climb energy
O01->S009->S008->S014->O01,C,9.0,8.66614474469175,6.4,6.4,-2.266144744691749,route too long / climb energy
O01->S009->S008->S014->O01,C,23.0,8.90036165846514,6.4,6.4,-2.50036165846514,route too long / climb energy
O01->S010->S014->S008->O01,B,9.0,3.969521595905515,3.2,3.2,-0.7695215959055148,route too long / climb energy
O01->S010->S014->S008->O01,B,23.0,4.628661665405081,3.2,3.2,-1.4286616654050812,route too long / climb energy
O01->S010->S014->S008->O01,C,9.0,8.177827687499626,6.4,6.4,-1.7778276874996255,route too long / climb energy
O01->S010->S014->S008->O01,C,23.0,8.52745647599559,6.4,6.4,-2.12745647599559,route too long / climb energy
O01->S010->S008->S014->O01,B,9.0,4.741269566580114,3.2,3.2,-1.5412695665801142,route too long / climb energy
O01->S010->S008->S014->O01,B,23.0,5.3393257210329566,3.2,3.2,-2.1393257210329564,route too long / climb energy
O01->S010->S008->S014->O01,C,9.0,9.734262067988958,6.4,6.4,-3.3342620679889574,route too long / climb energy
O01->S010->S008->S014->O01,C,23.0,10.034019243376129,6.4,6.4,-3.6340192433761285,route too long / climb energy
O01->S013->S014->S008->O01,B,9.0,4.173779950900944,3.2,3.2,-0.9737799509009442,route too long / climb energy
O01->S013->S014->S008->O01,B,23.0,4.886137701775366,3.2,3.2,-1.6861377017753663,route too long / climb energy
O01->S013->S014->S008->O01,C,9.0,8.616798563197886,6.4,6.4,-2.2167985631978855,route too long / climb energy
O01->S013->S014->S008->O01,C,23.0,8.99164633618341,6.4,6.4,-2.591646336183409,route too long / climb energy
O01->S013->S008->S014->O01,B,9.0,4.534829244306686,3.2,3.2,-1.334829244306686,route too long / climb energy
O01->S013->S008->S014->O01,B,23.0,5.082877884545866,3.2,3.2,-1.8828778845458656,route too long / climb energy
O01->S013->S008->S014->O01,C,9.0,9.33465294837274,6.4,6.4,-2.93465294837274,route too long / climb energy
O01->S013->S008->S014->O01,C,23.0,9.60626041269414,6.4,6.4,-3.2062604126941405,route too long / climb energy
O01->S014->S008->S015->O01,B,9.0,4.226713220709339,3.2,3.2,-1.0267132207093388,route too long / climb energy
O01->S014->S008->S015->O01,B,23.0,4.932978172017361,3.2,3.2,-1.7329781720173605,route too long / climb energy
O01->S014->S008->S015->O01,C,9.0,8.543200314788855,6.4,6.4,-2.1432003147888548,route too long / climb energy
O01->S014->S008->S015->O01,C,23.0,8.903037684032277,6.4,6.4,-2.503037684032277,route too long / climb energy
O01->S008->S014->S015->O01,B,9.0,5.517569050219558,3.2,3.2,-2.317569050219558,route too long / climb energy
O01->S008->S014->S015->O01,B,23.0,5.910713187269882,3.2,3.2,-2.7107131872698815,route too long / climb energy
O01->S008->S014->S015->O01,C,9.0,11.346276367567274,6.4,6.4,-4.946276367567274,route too long / climb energy
