from_node,to_node,drone_type,status,worst_joint_margin,communication_possible,runtime_seconds,pipeline_sha256
S011,S008,C,COMPLETED,7.4019063390613695,True,27.002766132354736,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S013,O01,C,COMPLETED,8.253309043575541,True,22.77853226661682,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,S009,C,COMPLETED,0.0215367100486219,True,39.89773035049439,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S014,S010,C,COMPLETED,2.7176137743184654,True,23.480305433273315,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S013,S002,C,COMPLETED,-0.0449936776191464,False,29.44829058647156,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S015,S011,C,COMPLETED,1.890783272530612,True,22.77435612678528,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S015,S007,C,COMPLETED,1.890783272530612,True,25.667115926742557,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S002,C,COMPLETED,-0.04499367761914641,False,23.304989337921143,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S013,C,COMPLETED,-0.04499367761914641,False,29.131908655166626,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S010,C,COMPLETED,3.918482904678413,True,14.75940227508545,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S009,C,COMPLETED,-0.04499367761914641,False,17.76762580871582,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,S002,C,COMPLETED,-0.04499367761914641,False,28.48542857170105,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S009,C,COMPLETED,2.33855101331298,True,18.410664081573486,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,O01,C,COMPLETED,0.0215367100486219,True,23.30333399772644,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S009,S002,C,COMPLETED,-0.04499367761914641,False,27.451423406600952,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S012,C,COMPLETED,-0.04499367761914641,False,33.25941276550293,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,O01,C,COMPLETED,3.918482904678413,True,15.548852920532227,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S005,S002,C,COMPLETED,-0.04499367761914641,False,22.3975350856781,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S004,C,COMPLETED,-0.04499367761914641,False,26.250020027160645,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S010,C,COMPLETED,-0.04499367761914641,False,29.347854137420654,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S005,C,COMPLETED,-0.04499367761914641,False,14.170742273330688,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S004,S002,C,COMPLETED,-0.04499367761914641,False,19.26541042327881,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S011,C,COMPLETED,inf,True,2.589250087738037,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S013,C,COMPLETED,12.703699314019246,True,15.183969020843506,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S002,C,COMPLETED,-0.04499367761914641,False,18.631418704986572,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S001,C,COMPLETED,-0.04499367761914641,False,20.305598735809326,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S001,C,COMPLETED,inf,True,2.082921266555786,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S002,C,COMPLETED,-0.04499367761914641,False,21.5578191280365,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S006,C,COMPLETED,-0.04499367761914641,False,24.49352240562439,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
