from_node,to_node,drone_type,strict_worst_joint_margin_db,corrected_access_margin,corrected_backhaul_margin,best_access_margin,best_backhaul_margin,failure_reason,pipeline_sha256
S013,S008,B,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S014,S008,B,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S015,S008,B,-0.3939969527329765,9.667121158712176,-0.3939969527329765,-0.3328788412878225,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,O01,B,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S001,B,-0.0771202430435664,9.804618106387409,-0.3939969527329765,-0.1953818936125912,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S002,B,-0.4303651068388774,9.606176423728158,-0.4303651068388774,-0.393823576271842,-0.4303651068388774,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S003,B,-0.4077746302209277,9.58622263530262,-0.4077746302209277,-0.4137773646973812,-0.4077746302209277,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S004,B,-0.0771202430435664,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S005,B,-0.0771202430435664,9.801880257331833,-0.3939969527329765,-0.1981197426681689,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S006,B,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S007,B,-0.0771202430435664,9.893493684411098,-0.3939969527329765,-0.1065063155889021,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S009,B,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S010,B,-0.3939969527329765,9.799578252299328,-0.3939969527329765,-0.2004217477006733,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S011,B,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S012,B,-0.3939969527329765,9.60802064129382,-0.3939969527329765,-0.3919793587061804,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S013,B,-0.3939969527329765,9.638271781045148,-0.3939969527329765,-0.3617282189548518,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S014,B,-0.3939969527329765,9.889924037464056,-0.3939969527329765,-0.1100759625359444,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S015,B,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S008,C,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,S008,C,-0.0771202430435664,9.757359562941147,-0.3939969527329765,-0.2426404370588528,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S008,C,-0.4303651068388774,9.607002847315016,-0.4303651068388774,-0.392997152684984,-0.4303651068388774,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S003,S008,C,-0.4017885448383822,9.513603254976289,-0.4017885448383822,-0.4863967450237112,-0.4017885448383822,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S004,S008,C,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S005,S008,C,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S006,S008,C,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S007,S008,C,-0.0771202430435664,9.626326339319816,-0.3939969527329765,-0.3736736606801827,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S009,S008,C,-0.3939969527329765,9.763930515363043,-0.3939969527329765,-0.2360694846369568,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,S008,C,-0.3939969527329765,9.82144716577504,-0.3939969527329765,-0.1785528342249591,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S008,C,-0.3939969527329765,9.800914928578266,-0.3939969527329765,-0.1990850714217344,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,S008,C,-0.3939969527329765,9.634825137569363,-0.3939969527329765,-0.365174862430635,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S013,S008,C,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S014,S008,C,-0.3939969527329765,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S015,S008,C,-0.3939969527329765,9.667121158712176,-0.3939969527329765,-0.3328788412878225,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,O01,C,-0.0771202430435664,9.929968922288651,-0.3939969527329765,-0.0700310777113486,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S001,C,-0.0771202430435664,9.804618106387409,-0.3939969527329765,-0.1953818936125912,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S002,C,-0.4303651068388774,9.606176423728158,-0.4303651068388774,-0.393823576271842,-0.4303651068388774,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S003,C,-0.4077746302209277,9.58622263530262,-0.4077746302209277,-0.4137773646973812,-0.4077746302209277,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S004,C,-0.0771202430435664,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S005,C,-0.0771202430435664,9.801880257331833,-0.3939969527329765,-0.1981197426681689,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S006,C,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S007,C,-0.0771202430435664,9.893493684411098,-0.3939969527329765,-0.1065063155889021,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S009,C,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S010,C,-0.3939969527329765,9.799578252299328,-0.3939969527329765,-0.2004217477006733,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S011,C,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S012,C,-0.3939969527329765,9.60802064129382,-0.3939969527329765,-0.3919793587061804,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S013,C,-0.3939969527329765,9.638271781045148,-0.3939969527329765,-0.3617282189548518,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S014,C,-0.3939969527329765,9.889924037464056,-0.3939969527329765,-0.1100759625359444,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,S015,C,-0.3939969527329765,9.968647132912425,-0.3939969527329765,-0.0313528670875769,-0.3939969527329765,relay_to_G01_backhaul,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
