box_id,service_id,mass,volume,category,hard_deadline_type,deadline,communication_feasible_in_count,communication_feasible_out_count,communication_cycle,singleton_candidate_count,singleton_present_in_pool,candidate_count,failure_reason
S012-WAT-01,S012,14,0.027,饮用水,FIRST_BATCH_HARD,3600,0,0,False,0,False,0,NO_COMM_IN_EDGE
S013-FOD-01,S013,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,162,True,470,COVERED
S013-MED-01,S013,3,0.012,医疗物资,MEDICAL_HARD,3600,12,12,True,169,True,486,COVERED
S013-WAT-01,S013,14,0.027,饮用水,FIRST_BATCH_HARD,3600,12,12,True,155,True,449,COVERED
S014-FOD-01,S014,8,0.028,应急食品,ORDINARY_SOFT,7200,12,12,True,86,True,246,COVERED
S014-MED-01,S014,3,0.012,医疗物资,MEDICAL_HARD,7200,12,12,True,91,True,258,COVERED
S014-WAT-01,S014,14,0.027,饮用水,FIRST_BATCH_HARD,3600,12,12,True,79,True,231,COVERED
S015-FOD-01,S015,8,0.028,应急食品,ORDINARY_SOFT,14400,11,11,True,104,True,296,COVERED
S015-MED-01,S015,3,0.012,医疗物资,MEDICAL_HARD,7200,11,11,True,113,True,310,COVERED
S015-WAT-01,S015,14,0.027,饮用水,FIRST_BATCH_HARD,10800,11,11,True,96,True,278,COVERED
